VKGroup_1;VkGroup_2;Quantity;vk1_custom_id;vk2_custom_id
78019879;40202469;70;71;44
69589815;932;183;67;2
40427933;1711;95;45;6
26555975;1388;60;25;4
1711;62739999;75;6;61
78019879;174958021;21;71;86
65464437;40427933;59;65;45
78019879;30365645;24;71;32
78019879;78767695;20;71;72
1441;78019879;26;5;71
932;7984081;182;2;12
30748170;65464437;29;33;65
932;35555742;39;2;40
25205856;30092695;31;23;31
69589815;1177;38;67;3
25205856;94;180;23;0
40427933;1177;91;45;3
78019879;40427933;351;71;45
50409684;1711;57;53;6
1711;94;33;6;0
51345945;40427933;101;54;45
65464437;932;63;65;2
25205856;1177;197;23;3
65464437;25205856;98;65;23
26555975;1177;106;25;3
78019879;1388;158;71;4
26555975;1711;207;25;6
1177;94;30;3;0
1388;94;20;4;0
1177;786;26;3;1
51345945;1388;41;54;4
1711;932;92;6;2
50409684;786;23;53;1
25205856;1711;196;23;6
78019879;69589815;219;71;67
932;128692347;60;2;85
40427933;1388;162;45;4
1711;786;25;6;1
69589815;94;44;67;0
25003603;26555975;55;22;25
40427933;25205856;256;45;23
1711;1177;95;6;3
50409684;1177;32;53;3
932;786;54;2;1
69589815;1388;83;67;4
78019879;50409684;156;71;53
50409684;26555975;72;53;25
78019879;1177;128;71;3
932;94;136;2;0
51345945;31469754;36;54;36
78019879;51345945;63;71;54
50409684;25205856;88;53;23
26555975;25003603;122;25;22
1388;932;99;4;2
65464437;26555975;59;65;25
50409684;932;96;53;2
26555975;25205856;486;25;23
51345945;1177;22;54;3
69589815;1711;41;67;6
51345945;50409684;57;54;53
1388;786;40;4;1
26555975;932;136;25;2
40202469;1388;26;44;4
69589815;65464437;34;67;65
1388;1177;46;4;3
51345945;786;25;54;1
78019879;65464437;219;71;65
40202469;932;29;44;2
1177;932;100;3;2
40427933;786;36;45;1
40427933;26555975;119;45;25
26555975;94;55;25;0
1711;1388;110;6;4
51345945;26555975;26;54;25
78019879;94;95;71;0
25205856;1388;84;23;4
51345945;932;60;54;2
69589815;26555975;70;67;25
50409684;40427933;194;53;45
40427933;94;57;45;0
40427933;932;302;45;2
69589815;25205856;118;67;23
69589815;51345945;52;67;54
65464437;1711;87;65;6
69589815;40427933;186;67;45
78019879;26555975;486;71;25
78019879;1711;225;71;6
78019879;786;21;71;1
78019879;932;388;71;2
50409684;1388;109;53;4
69589815;50409684;87;67;53
78019879;25205856;682;71;23
51345945;1711;23;54;6
25205856;932;384;23;2
40202469;38489;254;44;8
25205856;29461256;24;23;28
57354358;64952366;27;58;64
40202469;1711;24;44;6
65464437;50409684;34;65;53
23408338;38664418;21;20;43
38489;932;20;8;2
25205856;786;31;23;1
78019879;23408338;43;71;20
51345945;91982244;49;54;75
78019879;97919489;21;71;80
40202469;26555975;49;44;25
25205856;78019879;46;23;71
1177;394900;76;3;11
51345945;25205856;56;54;23
78019879;57354358;21;71;58
26555975;78019879;20;25;71
49866476;78019879;141;52;71
25205856;23730054;24;23;21
26555975;13175316;36;25;15
40427933;59336460;178;45;60
1177;37914954;30;3;42
25570041;26555975;25;24;25
38664418;49866476;48;43;52
78019879;23141780;22;71;19
78019879;46581711;29;71;51
57354358;25205856;25;58;23
25003603;25570041;21;22;24
78019879;94308479;54;71;77
78019879;49866476;295;71;52
932;32643806;82;2;38
78019879;55310751;134;71;57
932;45690159;48;2;49
25205856;63442801;229;23;62
25205856;25570041;59;23;24
78019879;64912153;34;71;63
78019879;1441;50;71;5
932;15787;45;2;7
78019879;38664418;223;71;43
1177;54683887;96;3;56
40202469;46038605;25;44;50
55310751;78019879;58;57;71
25205856;26555975;39;23;25
1711;102324529;27;6;82
25205856;38489;36;23;8
49866476;55310751;50;52;57
78019879;93005764;20;71;76
65464437;30748170;100;65;33
51345945;95466554;45;54;78
932;25205856;29;2;23
25205856;12846313;29;23;14
25205856;15290342;23;23;16
49866476;38664418;33;52;43
40202469;59218056;115;44;59
94;45636106;24;0;48
7984081;32643806;25;12;38
38664418;78019879;76;43;71
26555975;11759810;35;25;13
40427933;40202469;30;45;44
69589815;40202469;21;67;44
65464437;1388;34;65;4
78019879;81286083;20;71;73
26555975;73578707;74;25;68
57354358;63442801;53;58;62
25205856;35555742;27;23;40
40202469;25205856;84;44;23
50409684;67580318;47;53;66
38664418;55310751;24;43;57
932;96783705;24;2;79
25205856;57354358;274;23;58
26555975;25570041;98;25;24
69589815;20813583;42;67;18
40202469;354944;35;44;10
25205856;64952366;83;23;64
69589815;39664;74;67;9
78019879;35899505;28;71;41
25003603;73578707;22;22;68
1177;19174153;41;3;17
